0.392,1.13993,0.0342,195
0.394,0.87331,0.0262,194
0.396,1.05735,0.03172,193
0.398,1.22628,0.03679,192
0.4,1.64392,0.04932,190
0.402,1.73803,0.05214,189
0.404,1.69516,0.05085,188
0.406,1.63702,0.04911,187
0.408,1.68441,0.05053,186
0.41,1.65721,0.04972,186
0.412,1.76256,0.05288,185
0.414,1.76492,0.05295,184
0.416,1.77478,0.05324,183
0.418,1.72572,0.05177,182
0.42,1.74258,0.05228,181
0.422,1.72629,0.05179,180
0.424,1.7392,0.05218,179
0.426,1.72335,0.0517,179
0.428,1.63308,0.04899,178
0.43,1.42604,0.04278,177
0.432,1.58782,0.04763,176
0.434,1.65489,0.04965,175
0.436,1.7693,0.05308,175
0.438,1.7476,0.05243,174
0.44,1.80755,0.05423,173
0.442,1.92744,0.05782,173
0.444,1.9537,0.05861,172
0.446,1.91195,0.05736,171
0.448,1.99785,0.05994,170
0.45,2.07109,0.06213,170
0.452,2.06058,0.06182,169
0.454,2.01784,0.06054,169
0.456,2.07227,0.06217,168
0.458,2.07464,0.06224,167
0.46,2.06498,0.06195,167
0.462,2.08817,0.06265,166
0.464,2.06257,0.06188,165
0.466,2.02876,0.06086,165
0.468,2.01626,0.06049,164
0.47,2.00487,0.06015,164
0.472,2.03211,0.06096,163
0.474,2.06932,0.06208,163
0.476,2.06821,0.06205,162
0.478,2.07647,0.06229,162
0.48,2.08744,0.06262,161
0.482,2.08052,0.06242,161
0.484,2.00151,0.06005,160
0.486,1.84469,0.05534,160
0.488,1.89347,0.0568,159
0.49,1.97953,0.05939,159
0.492,1.9554,0.05866,158
0.494,1.97551,0.05927,158
0.496,1.9972,0.05992,157
0.498,1.96289,0.05889,157
0.5,1.90834,0.05725,156
0.502,1.88288,0.05649,156
0.504,1.92059,0.05762,155
0.506,1.94358,0.05831,155
0.508,1.89245,0.05677,155
0.51,1.89617,0.05689,154
0.512,1.90162,0.05705,154
0.514,1.85285,0.05559,153
0.516,1.77838,0.05335,153
0.518,1.71959,0.05159,152
0.52,1.79294,0.05379,152
0.522,1.83739,0.05512,152
0.524,1.85556,0.05567,151
0.526,1.83016,0.0549,151
0.528,1.8315,0.05494,151
0.53,1.89019,0.05671,150
0.532,1.87532,0.05626,150
0.534,1.86217,0.05587,149
0.536,1.88514,0.05655,149
0.538,1.86926,0.05608,149
0.54,1.83482,0.05504,148
0.542,1.83754,0.05513,148
0.544,1.86423,0.05593,148
0.546,1.87858,0.05636,147
0.548,1.87526,0.05626,147
0.55,1.87296,0.05619,147
0.552,1.87031,0.05611,146
