phase,proxy_ovirs_4um,fit_ovirs_4um,proxy_otes_14um_relative,fit_otes_14um_relative
0.0,0.24951768570039456,0.24951768570039456,0.9893010224666593,0.9893010224666593
0.010416666666666666,0.2514901353484605,0.2514901353484605,0.9948029079145289,0.9948029079145289
0.020833333333333332,0.2532937469492222,0.2532937469492222,0.9991926247844697,0.9991926247844697
0.03125,0.25263322371337305,0.25263322371337305,0.9965154172577647,0.9965154172577647
0.041666666666666664,0.25293485642384644,0.25293485642384644,0.9950135734802026,0.9950135734802026
0.052083333333333336,0.25435602090076076,0.25435602090076076,0.9956955048573557,0.9956955048573557
0.0625,0.25704463245994214,0.25704463245994214,0.998725223430494,0.998725223430494
0.07291666666666667,0.26100466345793194,0.26100466345793194,1.0041187368439768,1.0041187368439768
0.08333333333333333,0.2644220720841194,0.2644220720841194,1.0078382912113713,1.0078382912113713
0.09375,0.26475319838124095,0.26475319838124095,1.0048423634254147,1.0048423634254147
0.10416666666666667,0.26567822095759985,0.26567822095759985,1.0034298058615443,1.0034298058615443
0.11458333333333333,0.2672523557101201,0.2672523557101201,1.0042949262806098,1.0042949262806098
0.125,0.2695822002731099,0.2695822002731099,1.0074316942091817,1.0074316942091817
0.13541666666666666,0.2719410998296228,0.2719410998296228,1.0119373069796556,1.0119373069796556
0.14583333333333334,0.27309238570631517,0.27309238570631517,1.0156043800997512,1.0156043800997512
0.15625,0.27318363448303373,0.27318363448303373,1.016822287972453,1.016822287972453
0.16666666666666666,0.2713433473205128,0.2713433473205128,1.0130713661537794,1.0130713661537794
0.17708333333333334,0.2701106272429641,0.2701106272429641,1.0109364283386666,1.0109364283386666
0.1875,0.2698141455420694,0.2698141455420694,1.0112677012884865,1.0112677012884865
0.19791666666666666,0.27040365911682024,0.27040365911682024,1.0137796900472154,1.0137796900472154
0.20833333333333334,0.2699062470685446,0.2699062470685446,1.0150032685969281,1.0150032685969281
0.21875,0.26582727184341,0.26582727184341,1.0077353081671927,1.0077353081671927
0.22916666666666666,0.2623193637452469,0.2623193637452469,1.001682457148485,1.001682457148485
0.23958333333333334,0.25977164740998065,0.25977164740998065,0.9976557079386027,0.9976557079386027
0.25,0.25821343530842333,0.25821343530842333,0.9955337419578311,0.9955337419578311
0.2604166666666667,0.25562362227084623,0.25562362227084623,0.9894829020159691,0.9894829020159691
0.2708333333333333,0.25351751495985286,0.25351751495985286,0.9837822099152354,0.9837822099152354
0.28125,0.25262163973601853,0.25262163973601853,0.9807568556876843,0.9807568556876843
0.2916666666666667,0.2510719421303825,0.2510719421303825,0.9788107064345798,0.9788107064345798
0.3020833333333333,0.250132574161637,0.250132574161637,0.9784905190811181,0.9784905190811181
0.3125,0.25052808386583636,0.25052808386583636,0.9809938696126563,0.9809938696126563
0.3229166666666667,0.2522510338646145,0.2522510338646145,0.9864153461700845,0.9864153461700845
0.3333333333333333,0.2534254308671286,0.2534254308671286,0.9895943917277075,0.9895943917277075
0.34375,0.25224276558994213,0.25224276558994213,0.9880570480090131,0.9880570480090131
0.3541666666666667,0.2519819404228186,0.2519819404228186,0.9881172454046847,0.9881172454046847
0.3645833333333333,0.2527071983752858,0.2527071983752858,0.9904454496228635,0.9904454496228635
0.375,0.2548134528202412,0.2548134528202412,0.9954357928647366,0.9954357928647366
0.3854166666666667,0.2572353508899215,0.2572353508899215,1.0018058957306497,1.0018058957306497
0.3958333333333333,0.25942079916235433,0.25942079916235433,1.0077831654268425,1.0077831654268425
0.40625,0.261276485302347,0.261276485302347,1.0115946427163163,1.0115946427163163
0.4166666666666667,0.2617642302478796,0.2617642302478796,1.010085575346603,1.010085575346603
0.4270833333333333,0.26297529269074654,0.26297529269074654,1.0099230842814007,1.0099230842814007
0.4375,0.2654255412331721,0.2654255412331721,1.0121472426284628,1.0121472426284628
0.4479166666666667,0.26885476987509205,0.26885476987509205,1.0161742948780337,1.0161742948780337
0.4583333333333333,0.2716208696428292,0.2716208696428292,1.0192021671398623,1.0192021671398623
0.46875,0.2706940778960104,0.2706940778960104,1.0137935836551097,1.0137935836551097
0.4791666666666667,0.2702456894850055,0.2702456894850055,1.0097463758210015,1.0097463758210015
0.4895833333333333,0.2703526302161564,0.2703526302161564,1.0077115210669843,1.0077115210669843
0.5,0.2712848981066116,0.2712848981066116,1.008093247158002,1.008093247158002
0.5104166666666666,0.27298507821773293,0.27298507821773293,1.0107019383348925,1.0107019383348925
0.5208333333333334,0.2733267039354245,0.2733267039354245,1.0111252871786929,1.0111252871786929
0.53125,0.27001223920474,0.27001223920474,1.0047320393795,1.0047320393795
0.5416666666666666,0.26710440168829697,0.26710440168829697,1.0002803196009116,1.0002803196009116
0.5520833333333334,0.2648838833529267,0.2648838833529267,0.9978501273700375,0.9978501273700375
0.5625,0.263624380477989,0.263624380477989,0.9979984410780557,0.9979984410780557
0.5729166666666666,0.26332706093566915,0.26332706093566915,1.000728913255014,1.000728913255014
0.5833333333333334,0.2620020540626117,0.2620020540626117,1.0016968837982152,1.0016968837982152
0.59375,0.25762498785317295,0.25762498785317295,0.9958292442241459,0.9958292442241459
0.6041666666666666,0.2541454630006124,0.2541454630006124,0.9913792569371159,0.9913792569371159
0.6145833333333334,0.2518637798763878,0.2518637798763878,0.9892477860921166,0.9892477860921166
0.625,0.25084291303829287,0.25084291303829287,0.9891052286286948,0.9891052286286948
0.6354166666666666,0.250284602461844,0.250284602461844,0.9887160786620611,0.9887160786620611
0.6458333333333334,0.24919388136700277,0.24919388136700277,0.9851085032045993,0.9851085032045993
0.65625,0.2489693255986014,0.2489693255986014,0.983501195616733,0.983501195616733
0.6666666666666666,0.24844961129819348,0.24844961129819348,0.9818888321101699,0.9818888321101699
0.6770833333333334,0.2489750953767589,0.2489750953767589,0.982483014541721,0.982483014541721
0.6875,0.25085499511980397,0.25085499511980397,0.9858630943113003,0.9858630943113003
0.6979166666666666,0.2541770988924541,0.2541770988924541,0.9919519731843477,0.9919519731843477
0.7083333333333334,0.2570642816395133,0.2570642816395133,0.9961140957248984,0.9961140957248984
0.71875,0.25738023313640773,0.25738023313640773,0.9948208026203802,0.9948208026203802
0.7291666666666666,0.2584044811494904,0.2584044811494904,0.9952570836509321,0.9952570836509321
0.7395833333333334,0.2602018537957171,0.2602018537957171,0.9977895356884311,0.9977895356884311
0.75,0.26290419721327907,0.26290419721327907,1.0027482132068797,1.0027482132068797
0.7604166666666666,0.26496626623092057,0.26496626623092057,1.0078268229942322,1.0078268229942322
0.7708333333333334,0.2669893744049794,0.2669893744049794,1.0132548397125314,1.0132548397125314
0.78125,0.2693794696788582,0.2693794696788582,1.0187820896628135,1.0187820896628135
0.7916666666666666,0.2693520203038152,0.2693520203038152,1.0176546864628373,1.0176546864628373
0.8020833333333334,0.26951196283715134,0.26951196283715134,1.0165365136134732,1.0165365136134732
0.8125,0.27070375293646587,0.27070375293646587,1.0174904078942721,1.0174904078942721
0.8229166666666666,0.2728813606272458,0.2728813606272458,1.0206525620902174,1.0206525620902174
0.8333333333333334,0.27404322387409985,0.27404322387409985,1.0225352999527735,1.0225352999527735
0.84375,0.27132707414643886,0.27132707414643886,1.0154263229936975,1.0154263229936975
0.8541666666666666,0.26903309708214485,0.26903309708214485,1.0093764177870708,1.0093764177870708
0.8645833333333334,0.2673999187791102,0.2673999187791102,1.0053605786490778,1.0053605786490778
0.875,0.2668342418903359,0.2668342418903359,1.0037240199848736,1.0037240199848736
0.8854166666666666,0.2658085730727408,0.2658085730727408,1.000777726454576,1.000777726454576
0.8958333333333334,0.26370168119327414,0.26370168119327414,0.9945157244539305,0.9945157244539305
0.90625,0.2616669070231499,0.2616669070231499,0.9900668896148053,0.9900668896148053
0.9166666666666666,0.2587987236053285,0.2587987236053285,0.9862399889665328,0.9862399889665328
0.9270833333333334,0.25668042053884904,0.25668042053884904,0.9845735276115123,0.9845735276115123
0.9375,0.2558153858214333,0.2558153858214333,0.9858525770720221,0.9858525770720221
0.9479166666666666,0.2559348204908312,0.2559348204908312,0.9896759027477522,0.9896759027477522
0.9583333333333334,0.2552932670383986,0.2552932670383986,0.9914509145103888,0.9914509145103888
0.96875,0.25210581008156246,0.25210581008156246,0.9879296616523713,0.9879296616523713
0.9791666666666666,0.24996572204077885,0.24996572204077885,0.9861602958991281,0.9861602958991281
0.9895833333333334,0.24906859596907222,0.24906859596907222,0.9865434717110533,0.9865434717110533
