gamma,crater_fraction,rms_slope_deg,chi2
10.0,0.75,42.43788432490509,23236500.52953402
10.0,0.76,42.71986672482737,22943847.001842137
10.0,0.77,43.0,22653050.6914397
10.0,0.78,43.27832005765689,22364111.59896855
10.0,0.79,43.554861657752674,22077029.725077976
10.0,0.8,43.829658463635795,21791805.070424758
10.0,0.81,44.10274308987988,21508437.63567333
10.0,0.82,44.374147147465656,21226927.421495844
10.0,0.83,44.64390128649065,20947274.42857226
10.0,0.84,44.912035236570034,20669478.657590464
10.0,0.85,45.17857784507936,20393540.10924639
10.0,0.86,45.443557113378375,20119458.784244068
10.0,0.87,45.70700023114478,19847234.683295786
10.0,0.88,45.96893360893699,19576867.80712217
10.0,0.89,46.22938290909629,19308358.156452287
10.0,0.9,46.488373075090834,19041705.732023787
10.0,0.91,46.74592835939637,18776910.534582965
10.0,0.92,47.00207235000181,18513972.564884935
10.0,0.93,47.25682799562188,18252891.823693693
10.0,0.94,47.51021762969286,17993668.311782252
10.0,0.95,47.76226299322265,17736302.02993278
10.0,0.96,48.01298525656109,17480792.978936683
10.0,0.97,48.26240504015252,17227141.159594767
10.0,0.98,48.51054243432789,16975346.572717335
10.0,0.99,48.75741701819031,16725409.219124325
10.0,1.0,49.00304787764431,16477329.099645425
20.0,0.0,0.0,43498421.224541135
20.0,0.01,4.900304787764432,43103334.47731572
20.0,0.02,6.930077490618269,42710051.09114713
20.0,0.03,8.487576864981019,42318571.06631608
20.0,0.04,9.800609575528863,41928894.40310654
20.0,0.05,10.957414615908949,41541021.10180577
20.0,0.06,12.003246314140272,41154951.1627044
20.0,0.07,12.964987816843836,40770684.58609645
20.0,0.08,13.860154981236539,40388221.37227937
20.0,0.09,14.700914363293293,40007561.521554105
20.0,0.1,15.496124358363613,39628705.034225084
20.0,0.11,16.252472339396768,39251651.91060036
20.0,0.12,16.975153729962038,38876402.150991514
20.0,0.13,17.66830017768634,38502955.75571387
20.0,0.14,18.335261606582495,38131312.725086406
20.0,0.15,18.978798834352112,37761473.05943187
20.0,0.16,19.601219151057727,37393436.759076804
20.0,0.17,20.204474237672684,37027203.824351564
20.0,0.18,20.79023247185481,36662774.25559044
20.0,0.19,21.359933362413685,36300148.053131655
20.0,0.2,21.914829231817897,35939325.217317425
20.0,0.21,22.456017618285017,35580305.74849399
20.0,0.22,22.984466804468497,35223089.64701173
20.0,0.23,23.501036175000905,34867676.913225144
20.0,0.24,24.006492628280544,34514067.54749293
20.0,0.25,24.501523938822157,34162261.55017805
20.0,0.26,24.986749735362988,33812258.92164779
20.0,0.27,25.46273059494306,33464059.662273772
20.0,0.28,25.929975633687672,33117663.772432078
20.0,0.29,26.38894888730173,32773071.252503242
20.0,0.3,26.840074709091443,32430282.10287233
20.0,0.31,27.283742364320137,32089296.32392904
20.0,0.32,27.720309962473078,31750113.916067705
20.0,0.33,28.150107840443013,31412734.879687358
20.0,0.34,28.57344148753451,31077159.215191826
20.0,0.35,28.990594085919405,30743386.92298979
20.0,0.36,29.401828726586587,30411418.003494803
20.0,0.37,29.80739035005445,30081252.457125414
20.0,0.38,30.207507452510978,29752890.28430519
20.0,0.39,30.602393591130962,29426331.485462796
