rotation_phase,corrected_thermal_radiance_W_cm-2_um-1_sr-1,sigma,accepted_frame_count,accepted_2018-11-02,accepted_2018-11-03
0.001388888888888889,0.00011033997321935646,5.516998660967823e-07,138,92,46
0.004166666666666667,0.00011022675832604132,5.511337916302067e-07,110,94,16
0.006944444444444444,0.00010997271931221026,5.498635965610513e-07,99,94,5
0.009722222222222222,0.00010949895844059913,5.474947922029957e-07,79,70,9
0.0125,0.00010900782928593161,5.450391464296581e-07,55,47,8
0.015277777777777777,0.00010876572059266448,5.438286029633224e-07,47,47,0
0.018055555555555554,0.00010861534923769409,5.430767461884705e-07,47,47,0
0.020833333333333332,0.00010856062448561177,5.428031224280589e-07,83,47,36
0.02361111111111111,0.00010846035978241121,5.42301798912056e-07,94,47,47
0.02638888888888889,0.00010834297918610821,5.41714895930541e-07,94,47,47
0.029166666666666667,0.00010826117280642873,5.413058640321436e-07,92,46,46
0.03194444444444444,0.00010813647341245257,5.406823670622629e-07,63,47,16
0.034722222222222224,0.0001079206986147231,5.396034930736155e-07,50,47,3
0.0375,0.00010786831802717658,5.393415901358829e-07,53,47,6
0.04027777777777778,0.00010780012386048524,5.390006193024262e-07,53,47,6
0.043055555555555555,0.00010770402304873486,5.385201152436744e-07,47,47,0
0.04583333333333333,0.00010762560943152854,5.381280471576428e-07,47,47,0
0.04861111111111111,0.00010775200688926515,5.387600344463258e-07,82,47,35
0.05138888888888889,0.00010774918906416238,5.38745945320812e-07,94,47,47
0.05416666666666667,0.00010768902978960826,5.384451489480413e-07,94,47,47
0.05694444444444444,0.00010773522020184929,5.386761010092465e-07,92,46,46
0.059722222222222225,0.00010770828916034503,5.385414458017252e-07,64,47,17
0.0625,0.00010757193564992835,5.378596782496417e-07,50,47,3
0.06527777777777778,0.00010755210614318616,5.377605307159308e-07,52,47,5
0.06805555555555555,0.00010758885479369325,5.379442739684663e-07,51,47,4
0.07083333333333333,0.00010759064099767506,5.379532049883753e-07,47,47,0
0.07361111111111111,0.00010768334748423749,5.384167374211875e-07,47,47,0
0.0763888888888889,0.00010805901085750045,5.402950542875022e-07,81,47,34
0.07916666666666666,0.00010817060454820168,5.408530227410084e-07,94,47,47
0.08194444444444444,0.00010829610063650323,5.414805031825161e-07,94,47,47
0.08472222222222223,0.00010852956708742402,5.426478354371201e-07,93,46,47
0.0875,0.00010858056394662758,5.429028197331379e-07,63,47,16
0.09027777777777778,0.00010863941309678797,5.431970654839399e-07,50,47,3
0.09305555555555556,0.00010875402838535571,5.437701419267785e-07,48,47,1
0.09583333333333334,0.00010892315971343487,5.446157985671744e-07,50,47,3
0.09861111111111111,0.00010912418527437857,5.456209263718929e-07,47,47,0
0.10138888888888889,0.00010933515690627284,5.466757845313642e-07,47,47,0
0.10416666666666667,0.00010989926163700174,5.494963081850087e-07,81,47,34
0.10694444444444444,0.00011016050690670375,5.508025345335188e-07,94,47,47
0.10972222222222222,0.00011039879796905776,5.519939898452888e-07,94,47,47
0.1125,0.00011069320730011096,5.534660365005548e-07,93,46,47
0.11527777777777778,0.00011084966193566147,5.542483096783074e-07,64,47,17
0.11805555555555555,0.00011093274588745625,5.546637294372813e-07,51,47,4
0.12083333333333333,0.00011110001374546396,5.555000687273198e-07,51,47,4
0.12361111111111112,0.00011132790144068681,5.566395072034341e-07,51,47,4
0.12638888888888888,0.00011151130164697213,5.575565082348607e-07,47,47,0
0.12916666666666668,0.00011175816142912156,5.587908071456078e-07,47,47,0
0.13194444444444445,0.00011221287036871604,5.610643518435802e-07,79,47,32
0.13472222222222222,0.00011244649556327383,5.622324778163691e-07,94,47,47
0.1375,0.00011264465087636973,5.632232543818486e-07,94,47,47
0.14027777777777778,0.00011283890600503,5.6419453002515e-07,93,46,47
0.14305555555555555,0.0001129594191849087,5.647970959245435e-07,64,47,17
0.14583333333333334,0.00011293709615872715,5.646854807936357e-07,51,47,4
0.1486111111111111,0.00011315405822041794,5.657702911020898e-07,51,47,4
0.15138888888888888,0.00011333073416519842,5.666536708259921e-07,50,47,3
0.15416666666666667,0.0001134908068452316,5.67454034226158e-07,47,47,0
0.15694444444444444,0.00011367355615135076,5.683677807567538e-07,47,47,0
0.1597222222222222,0.00011406696477499244,5.703348238749622e-07,79,47,32
0.1625,0.00011425633225858004,5.712816612929002e-07,94,47,47
0.16527777777777777,0.000114396721212143,5.71983606060715e-07,94,47,47
0.16805555555555557,0.00011454808923432254,5.727404461716127e-07,94,47,47
0.17083333333333334,0.00011455834371614778,5.727917185807389e-07,63,46,17
0.1736111111111111,0.0001145145838058959,5.725729190294796e-07,49,47,2
0.1763888888888889,0.00011464043678235117,5.732021839117558e-07,51,47,4
0.17916666666666667,0.000114777638374333,5.73888191871665e-07,50,47,3
0.18194444444444444,0.00011485313617521224,5.742656808760613e-07,47,47,0
0.18472222222222223,0.00011491003697477362,5.745501848738681e-07,47,47,0
0.1875,0.00011511675731042149,5.755837865521074e-07,78,47,31
0.19027777777777777,0.00011516659572687811,5.758329786343906e-07,94,47,47
0.19305555555555556,0.00011519119166833127,5.759559583416563e-07,94,47,47
0.19583333333333333,0.00011521146398490084,5.760573199245042e-07,93,46,47
0.1986111111111111,0.00011517669042633558,5.758834521316779e-07,64,46,18
0.2013888888888889,0.00011504682313560697,5.752341156780348e-07,48,47,1
0.20416666666666666,0.00011502919052259374,5.751459526129687e-07,52,47,5
0.20694444444444443,0.00011495368362920969,5.747684181460485e-07,52,47,5
0.20972222222222223,0.00011494871681199703,5.747435840599852e-07,47,47,0
0.2125,0.00011496826429498564,5.748413214749281e-07,47,47,0
0.2152777777777778,0.00011514296296499406,5.757148148249703e-07,77,47,30
0.21805555555555556,0.0001151959962630399,5.759799813151996e-07,94,47,47
0.22083333333333333,0.00011516493660032075,5.758246830016038e-07,94,47,47
0.22361111111111112,0.00011517477155914302,5.758738577957151e-07,94,47,47
0.2263888888888889,0.00011510426914933372,5.755213457466686e-07,64,46,18
0.22916666666666666,0.00011493274584044198,5.7466372920221e-07,48,47,1
0.23194444444444445,0.00011485703094515406,5.742851547257703e-07,54,47,7
0.23472222222222222,0.00011473297998798474,5.736648999399237e-07,53,47,6
0.2375,0.00011468066677816445,5.734033338908223e-07,47,47,0
0.24027777777777778,0.00011462008303196308,5.731004151598154e-07,47,47,0
0.24305555555555555,0.00011472424133406216,5.736212066703108e-07,76,47,29
0.24583333333333332,0.00011471002180761061,5.73550109038053e-07,94,47,47
0.24861111111111112,0.000114634307826977,5.73171539134885e-07,94,47,47
0.2513888888888889,0.0001146038274138647,5.730191370693235e-07,94,47,47
0.25416666666666665,0.00011456434237282013,5.728217118641007e-07,66,47,19
0.2569444444444444,0.00011441278693800807,5.720639346900404e-07,47,46,1
0.25972222222222224,0.00011427753307623359,5.71387665381168e-07,55,47,8
0.2625,0.00011413776388330238,5.706888194165119e-07,53,47,6
0.2652777777777778,0.00011406606985507547,5.703303492753773e-07,46,46,0
0.26805555555555555,0.00011400285281450239,5.70014264072512e-07,47,47,0
0.2708333333333333,0.00011405640113200792,5.702820056600396e-07,74,47,27
0.27361111111111114,0.0001139771847395106,5.69885923697553e-07,94,47,47
0.2763888888888889,0.00011391113933865395,5.695556966932698e-07,94,47,47
0.2791666666666667,0.00011387832903776598,5.693916451888299e-07,94,47,47
0.28194444444444444,0.00011385688448304398,5.692844224152199e-07,66,47,19
0.2847222222222222,0.00011376196388099093,5.688098194049547e-07,46,46,0
0.2875,0.00011353319924594694,5.676659962297347e-07,54,47,7
0.2902777777777778,0.00011333139518018655,5.666569759009327e-07,57,47,10
0.29305555555555557,0.0001131910108647466,5.65955054323733e-07,47,47,0
0.29583333333333334,0.00011304690844974647,5.652345422487323e-07,47,47,0
0.2986111111111111,0.00011293718421287783,5.646859210643892e-07,74,47,27
0.3013888888888889,0.00011281935538467014,5.640967769233507e-07,94,47,47
0.30416666666666664,0.00011268199667701368,5.634099833850685e-07,94,47,47
0.30694444444444446,0.00011256216700050686,5.628108350025343e-07,94,47,47
0.30972222222222223,0.00011251877707479998,5.62593885374e-07,67,47,20
0.3125,0.00011239733960796321,5.619866980398161e-07,46,46,0
0.31527777777777777,0.00011229484373128734,5.614742186564368e-07,53,47,6
0.31805555555555554,0.00011214044095632146,5.607022047816073e-07,55,47,8
0.32083333333333336,0.00011210041298104978,5.605020649052489e-07,47,47,0
0.3236111111111111,0.00011206600120100966,5.603300060050484e-07,47,47,0
0.3263888888888889,0.00011221847756873879,5.61092387843694e-07,73,47,26
0.32916666666666666,0.00011228335161242405,5.614167580621203e-07,94,47,47
0.33194444444444443,0.00011231445471881658,5.615722735940829e-07,94,47,47
0.3347222222222222,0.00011242206932630883,5.621103466315442e-07,94,47,47
0.3375,0.00011242635231352458,5.621317615676229e-07,67,47,20
0.3402777777777778,0.00011238842742262531,5.619421371131266e-07,47,47,0
0.34305555555555556,0.00011243523782835565,5.621761891417782e-07,49,46,3
0.3458333333333333,0.00011249309273684309,5.624654636842154e-07,55,47,8
0.3486111111111111,0.00011252075614948268,5.626037807474134e-07,47,47,0
0.35138888888888886,0.00011261637387172803,5.630818693586401e-07,47,47,0
0.3541666666666667,0.00011290049900157851,5.645024950078926e-07,72,47,25
0.35694444444444445,0.00011307297586695199,5.653648793347599e-07,94,47,47
0.3597222222222222,0.00011314353511085829,5.657176755542915e-07,94,47,47
0.3625,0.00011326365118162983,5.663182559081492e-07,94,47,47
0.36527777777777776,0.00011321627749880732,5.660813874940366e-07,67,47,20
0.3680555555555556,0.0001131440480639928,5.65720240319964e-07,47,47,0
0.37083333333333335,0.00011320786261083312,5.660393130541656e-07,49,46,3
0.3736111111111111,0.00011322446690318172,5.661223345159086e-07,56,47,9
0.3763888888888889,0.00011324298803202357,5.662149401601179e-07,47,47,0
0.37916666666666665,0.00011327657424054057,5.663828712027028e-07,47,47,0
0.3819444444444444,0.0001134584034983642,5.67292017491821e-07,70,47,23
0.38472222222222224,0.00011352428518375554,5.676214259187777e-07,94,47,47
0.3875,0.00011356936299356919,5.67846814967846e-07,94,47,47
0.3902777777777778,0.00011357548306012908,5.678774153006455e-07,94,47,47
0.39305555555555555,0.00011350222965196807,5.675111482598403e-07,68,47,21
0.3958333333333333,0.0001133919221616297,5.669596108081486e-07,47,47,0
0.39861111111111114,0.00011335923277346407,5.667961638673204e-07,47,46,1
0.4013888888888889,0.00011327944505363666,5.663972252681833e-07,57,47,10
0.4041666666666667,0.00011319789977322653,5.659894988661327e-07,47,47,0
0.40694444444444444,0.0001131406793050671,5.657033965253355e-07,47,47,0
0.4097222222222222,0.00011315082756697725,5.657541378348863e-07,70,47,23
0.4125,0.00011306165600883035,5.653082800441518e-07,94,47,47
0.4152777777777778,0.00011296934334861004,5.648467167430502e-07,94,47,47
0.41805555555555557,0.00011293174491006707,5.646587245503354e-07,94,47,47
0.42083333333333334,0.00011287348425362212,5.643674212681106e-07,68,47,21
0.4236111111111111,0.00011277366654288096,5.638683327144049e-07,47,47,0
0.4263888888888889,0.00011273699422668473,5.636849711334237e-07,49,47,2
